category,price,description,rating,num_ratings_reviews,discount,mrp,details,is_fassured,timestamp
Camera,"₹17,490",Canon PowerShot SX540 HS,4.4,161 Ratings & 29 Reviews,9% off,"₹19,295",Effective Pixels: 20.3 MPOptical Zoom: 50x | Digital Zoom: 50x ZoomDisplay Size: 3Product is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.,1,2019-08-14 21:17:42.705018
Camera,"₹2,398",strikers SJ-8000 Ultra HD Action Camera 4K Video Recording 1920x1080p 60fps Go Pro Style Action camera...,3.2,27 Ratings & 8 Reviews,76% off,"₹9,999",Effective Pixels: 16 MP1280 x 720NA,0,2019-08-14 21:17:42.705018
Camera,₹699,ALONZO Action Camera Ultra HD Waterproof Sport Camera 12MP 170 Degree Wide Angle Rechargeable 1050mAh ...,3,24 Ratings & 4 Reviews,76% off,"₹2,999",Effective Pixels: 12 MPHDNA,0,2019-08-14 21:17:51.946045
Camera,"₹5,199",Fujifilm Instax Mini9 Wander Lust Series Instant Camera,0,0,19% off,"₹6,465",Instant CameraPolaroidInstaxCompany Warranty,0,2019-08-14 21:17:51.950041
Camera,₹629,Teconica 1 12MP Sports Waterproof Camera with Micro Sd Sports and Action Camera,0,0,72% off,"₹2,299",Effective Pixels: 1080 MPHDNA,0,2019-08-14 21:17:51.952925
Camera,"₹84,000",Canon EOS 80D DSLR Camera (Body Only) (16 GB SD Card),4.4,66 Ratings & 16 Reviews,0,0,Effective Pixels: 24 MPSensor Type: CMOSWiFi Available1080p at 60p + Time-LapseProduct is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.,0,2019-08-14 21:17:51.957145
Camera,"₹1,190","Odile Action Camera Action Camera Sports 4K Wifi Action Camera Ã¢?? 4K Ultra HD, 16MP,2 Inch LCD Displ...",0,0,60% off,"₹2,999",Effective Pixels: 16 MPHDNA,0,2019-08-14 21:17:51.959141
Camera,₹670,Odile 1080P Sport Action Camera Sports and Action Camera,0,0,66% off,"₹1,999",Effective Pixels: 16 MPHDNA,0,2019-08-14 21:17:51.964038
Camera,"₹15,995",Polaroid Snap Touch Portable Instant Print Digital Camera with LCD Touchscreen Display (Black) Instant...,0,0,20% off,"₹19,995",0,1,2019-08-14 21:17:51.965038
Camera,"₹5,199",Fujifilm Instax Mini9 Wander Lust Series Instant Camera,0,0,19% off,"₹6,465",0,0,2019-08-14 21:17:51.969397
Camera,₹670,BERRIN 1080P Action Camera 2-inch LCD 170 Degree Wide Angle Lens Waterproof Diving (Upto 30m) Sports a...,2.7,59 Ratings & 18 Reviews,85% off,"₹4,599","Effective Pixels: 12 MPHDECOMMERCEPLANET on 01165750818 (11 AM- 4 PM, Mondays To Friday) for setup/installation guidance. 6 Month warranty against manufacturing defect for this product when bought from. Jagdamba Entrprises",0,2019-08-14 21:17:51.972502
Camera,₹743,SpadeAces 1080 1080 P action camera 1080P 2-inch LCD 140 Degree Wide Angle Lens Waterproof Diving Spor...,3.1,27 Ratings & 5 Reviews,62% off,"₹1,999",Effective Pixels: 12 MPHDNA,0,2019-08-14 21:17:51.976211
Camera,"₹1,399",IBS MINI NIGHT VISION CAMERA SQ11 HD Camcorder Sports and Action Camera,3.2,14 Ratings & 2 Reviews,53% off,"₹2,999",Effective Pixels: 2 MPHDna,0,2019-08-14 21:17:51.978206
Camera,₹898,"Mindmaker Action Pro Waterproof Ultra HD 2 inch LCD Display, HDMI Out, 170 Degree Wide Angle Sports an...",3.7,3 Ratings & 0 Reviews,59% off,"₹2,199",Effective Pixels: 12 MPHD1 month,1,2019-08-14 21:17:51.981271
